Top values of organization.name,Top values of network.application,Top values of url.original,Top values of source.ip,Count of records
Cabarrus County,web-browsing,firehose.us-east-1.amazonaws.com/,192.168.69.125,26
Cabarrus County,web-browsing,firehose.us-east-1.amazonaws.com/,192.168.69.109,14
Cabarrus County,web-browsing,firehose.us-east-1.amazonaws.com/,192.168.72.86,13
Cabarrus County,web-browsing,firehose.us-east-1.amazonaws.com/,10.9.4.53,10
Cabarrus County,web-browsing,firehose.us-east-1.amazonaws.com/,192.168.72.42,8
Cabarrus County,web-browsing,firehose.us-east-1.amazonaws.com/,192.168.72.109,8
Cabarrus County,web-browsing,firehose.us-east-1.amazonaws.com/,192.168.72.166,8
Cabarrus County,web-browsing,firehose.us-east-1.amazonaws.com/,192.168.72.203,8
Cabarrus County,web-browsing,firehose.us-east-1.amazonaws.com/,192.168.69.149,6
Cabarrus County,web-browsing,firehose.us-east-1.amazonaws.com/,192.168.69.197,6
Cabarrus County,web-browsing,firehose.us-east-1.amazonaws.com/,192.168.70.94,6
Cabarrus County,web-browsing,firehose.us-east-1.amazonaws.com/,192.168.70.109,6
Cabarrus County,web-browsing,firehose.us-east-1.amazonaws.com/,192.168.72.56,6
Cabarrus County,web-browsing,firehose.us-east-1.amazonaws.com/,192.168.72.72,6
Cabarrus County,web-browsing,firehose.us-east-1.amazonaws.com/,192.168.72.149,6
Cabarrus County,web-browsing,firehose.us-east-1.amazonaws.com/,192.168.72.160,6
Cabarrus County,web-browsing,firehose.us-east-1.amazonaws.com/,192.168.72.218,6
Cabarrus County,web-browsing,firehose.us-east-1.amazonaws.com/,192.168.69.31,5
Cabarrus County,web-browsing,firehose.us-east-1.amazonaws.com/,192.168.70.18,5
Cabarrus County,web-browsing,firehose.us-east-1.amazonaws.com/,192.168.70.45,5
Cabarrus County,web-browsing,firehose.us-east-1.amazonaws.com/,192.168.70.151,5
Cabarrus County,web-browsing,firehose.us-east-1.amazonaws.com/,192.168.72.13,5
Cabarrus County,web-browsing,firehose.us-east-1.amazonaws.com/,192.168.72.116,5
Cabarrus County,web-browsing,firehose.us-east-1.amazonaws.com/,192.168.72.136,5
Cabarrus County,web-browsing,firehose.us-east-1.amazonaws.com/,192.168.72.208,5
Cabarrus County,web-browsing,firehose.us-east-1.amazonaws.com/,192.168.73.81,5
Cabarrus County,web-browsing,firehose.us-east-1.amazonaws.com/,10.8.63.23,4
Cabarrus County,web-browsing,firehose.us-east-1.amazonaws.com/,192.168.69.96,4
Cabarrus County,web-browsing,firehose.us-east-1.amazonaws.com/,192.168.70.11,4
Cabarrus County,web-browsing,firehose.us-east-1.amazonaws.com/,192.168.70.122,4
Cabarrus County,web-browsing,firehose.us-east-1.amazonaws.com/,192.168.70.123,4
Cabarrus County,web-browsing,firehose.us-east-1.amazonaws.com/,192.168.70.124,4
Cabarrus County,web-browsing,firehose.us-east-1.amazonaws.com/,192.168.72.21,4
Cabarrus County,web-browsing,firehose.us-east-1.amazonaws.com/,192.168.72.33,4
Cabarrus County,web-browsing,firehose.us-east-1.amazonaws.com/,192.168.72.66,4
Cabarrus County,web-browsing,firehose.us-east-1.amazonaws.com/,192.168.72.68,4
Cabarrus County,web-browsing,firehose.us-east-1.amazonaws.com/,192.168.72.75,4
Cabarrus County,web-browsing,firehose.us-east-1.amazonaws.com/,192.168.72.84,4
Cabarrus County,web-browsing,firehose.us-east-1.amazonaws.com/,192.168.72.91,4
Cabarrus County,web-browsing,firehose.us-east-1.amazonaws.com/,192.168.72.99,4
Cabarrus County,web-browsing,firehose.us-east-1.amazonaws.com/,192.168.72.101,4
Cabarrus County,web-browsing,firehose.us-east-1.amazonaws.com/,192.168.72.103,4
Cabarrus County,web-browsing,firehose.us-east-1.amazonaws.com/,192.168.72.106,4
Cabarrus County,web-browsing,firehose.us-east-1.amazonaws.com/,192.168.72.113,4
Cabarrus County,web-browsing,firehose.us-east-1.amazonaws.com/,192.168.72.132,4
Cabarrus County,web-browsing,firehose.us-east-1.amazonaws.com/,192.168.72.152,4
Cabarrus County,web-browsing,firehose.us-east-1.amazonaws.com/,192.168.72.154,4
Cabarrus County,web-browsing,firehose.us-east-1.amazonaws.com/,192.168.72.178,4
Cabarrus County,web-browsing,firehose.us-east-1.amazonaws.com/,192.168.72.179,4
Cabarrus County,web-browsing,firehose.us-east-1.amazonaws.com/,192.168.72.180,4
Cabarrus County,web-browsing,firehose.us-east-1.amazonaws.com/,192.168.72.192,4
Cabarrus County,web-browsing,firehose.us-east-1.amazonaws.com/,192.168.72.205,4
Cabarrus County,web-browsing,firehose.us-east-1.amazonaws.com/,192.168.72.212,4
Cabarrus County,web-browsing,firehose.us-east-1.amazonaws.com/,192.168.72.220,4
Cabarrus County,web-browsing,firehose.us-east-1.amazonaws.com/,192.168.72.251,4
Cabarrus County,web-browsing,firehose.us-east-1.amazonaws.com/,192.168.73.13,4
Cabarrus County,web-browsing,firehose.us-east-1.amazonaws.com/,192.168.73.74,4
Cabarrus County,web-browsing,firehose.us-east-1.amazonaws.com/,192.168.73.135,4
Cabarrus County,web-browsing,firehose.us-east-1.amazonaws.com/,192.168.73.141,4
Cabarrus County,web-browsing,firehose.us-east-1.amazonaws.com/,192.168.73.213,4
Cabarrus County,web-browsing,firehose.us-east-1.amazonaws.com/,192.168.69.92,3
Cabarrus County,web-browsing,firehose.us-east-1.amazonaws.com/,192.168.69.144,3
Cabarrus County,web-browsing,firehose.us-east-1.amazonaws.com/,192.168.69.146,3
Cabarrus County,web-browsing,firehose.us-east-1.amazonaws.com/,192.168.70.46,3
Cabarrus County,web-browsing,firehose.us-east-1.amazonaws.com/,192.168.70.62,3
Cabarrus County,web-browsing,firehose.us-east-1.amazonaws.com/,192.168.70.139,3
Cabarrus County,web-browsing,firehose.us-east-1.amazonaws.com/,192.168.70.152,3
Cabarrus County,web-browsing,firehose.us-east-1.amazonaws.com/,192.168.72.53,3
Cabarrus County,web-browsing,firehose.us-east-1.amazonaws.com/,192.168.72.65,3
Cabarrus County,web-browsing,firehose.us-east-1.amazonaws.com/,192.168.72.124,3
Cabarrus County,web-browsing,firehose.us-east-1.amazonaws.com/,192.168.72.141,3
Cabarrus County,web-browsing,firehose.us-east-1.amazonaws.com/,192.168.72.144,3
Cabarrus County,web-browsing,firehose.us-east-1.amazonaws.com/,192.168.72.155,3
Cabarrus County,web-browsing,firehose.us-east-1.amazonaws.com/,192.168.72.158,3
Cabarrus County,web-browsing,firehose.us-east-1.amazonaws.com/,192.168.73.164,3
Cabarrus County,web-browsing,firehose.us-east-1.amazonaws.com/,10.10.15.32,2
Cabarrus County,web-browsing,firehose.us-east-1.amazonaws.com/,10.129.4.165,2
Cabarrus County,web-browsing,firehose.us-east-1.amazonaws.com/,10.129.5.91,2
Cabarrus County,web-browsing,firehose.us-east-1.amazonaws.com/,192.168.69.87,2
Cabarrus County,web-browsing,firehose.us-east-1.amazonaws.com/,192.168.70.77,2
Cabarrus County,web-browsing,firehose.us-east-1.amazonaws.com/,192.168.70.80,2
Cabarrus County,web-browsing,firehose.us-east-1.amazonaws.com/,192.168.70.101,2
Cabarrus County,web-browsing,firehose.us-east-1.amazonaws.com/,192.168.70.113,2
Cabarrus County,web-browsing,firehose.us-east-1.amazonaws.com/,192.168.70.128,2
Cabarrus County,web-browsing,firehose.us-east-1.amazonaws.com/,192.168.70.173,2
Cabarrus County,web-browsing,firehose.us-east-1.amazonaws.com/,192.168.72.8,2
Cabarrus County,web-browsing,firehose.us-east-1.amazonaws.com/,192.168.72.23,2
Cabarrus County,web-browsing,firehose.us-east-1.amazonaws.com/,192.168.72.39,2
Cabarrus County,web-browsing,firehose.us-east-1.amazonaws.com/,192.168.72.123,2
Cabarrus County,web-browsing,firehose.us-east-1.amazonaws.com/,192.168.72.143,2
Cabarrus County,web-browsing,firehose.us-east-1.amazonaws.com/,192.168.72.170,2
Cabarrus County,web-browsing,firehose.us-east-1.amazonaws.com/,192.168.72.174,2
Cabarrus County,web-browsing,firehose.us-east-1.amazonaws.com/,192.168.72.200,2
Cabarrus County,web-browsing,firehose.us-east-1.amazonaws.com/,192.168.72.207,2
Cabarrus County,web-browsing,firehose.us-east-1.amazonaws.com/,192.168.72.226,2
Cabarrus County,web-browsing,firehose.us-east-1.amazonaws.com/,192.168.72.245,2
Cabarrus County,web-browsing,firehose.us-east-1.amazonaws.com/,192.168.73.23,2
Cabarrus County,web-browsing,firehose.us-east-1.amazonaws.com/,192.168.73.150,2
Cabarrus County,web-browsing,firehose.us-east-1.amazonaws.com/,10.8.63.32,1
Cabarrus County,web-browsing,firehose.us-east-1.amazonaws.com/,10.8.63.33,1
Cabarrus County,web-browsing,firehose.us-east-1.amazonaws.com/,10.8.63.46,1
Cabarrus County,web-browsing,firehose.us-east-1.amazonaws.com/,10.8.63.53,1
Cabarrus County,web-browsing,firehose.us-east-1.amazonaws.com/,10.8.63.55,1
Cabarrus County,web-browsing,firehose.us-east-1.amazonaws.com/,10.9.5.55,1
Cabarrus County,web-browsing,firehose.us-east-1.amazonaws.com/,10.9.6.200,1
Cabarrus County,web-browsing,firehose.us-east-1.amazonaws.com/,10.9.6.205,1
Cabarrus County,web-browsing,firehose.us-east-1.amazonaws.com/,10.9.6.217,1
Cabarrus County,web-browsing,firehose.us-east-1.amazonaws.com/,10.9.9.156,1
Cabarrus County,web-browsing,firehose.us-east-1.amazonaws.com/,10.9.12.170,1
Cabarrus County,web-browsing,firehose.us-east-1.amazonaws.com/,10.10.15.36,1
Cabarrus County,web-browsing,firehose.us-east-1.amazonaws.com/,10.10.15.38,1
Cabarrus County,web-browsing,firehose.us-east-1.amazonaws.com/,10.10.15.62,1
Cabarrus County,web-browsing,firehose.us-east-1.amazonaws.com/,10.25.5.12,1
Cabarrus County,web-browsing,firehose.us-east-1.amazonaws.com/,10.129.4.197,1
Cabarrus County,web-browsing,firehose.us-east-1.amazonaws.com/,10.129.5.35,1
Cabarrus County,web-browsing,firehose.us-east-1.amazonaws.com/,10.129.5.128,1
Cabarrus County,web-browsing,firehose.us-east-1.amazonaws.com/,192.168.69.42,1
Cabarrus County,web-browsing,firehose.us-east-1.amazonaws.com/,192.168.69.94,1
Cabarrus County,web-browsing,firehose.us-east-1.amazonaws.com/,192.168.70.19,1
Cabarrus County,web-browsing,firehose.us-east-1.amazonaws.com/,192.168.70.27,1
Cabarrus County,web-browsing,firehose.us-east-1.amazonaws.com/,192.168.70.29,1
Cabarrus County,web-browsing,firehose.us-east-1.amazonaws.com/,192.168.70.50,1
Cabarrus County,web-browsing,firehose.us-east-1.amazonaws.com/,192.168.70.53,1
Cabarrus County,web-browsing,firehose.us-east-1.amazonaws.com/,192.168.70.54,1
Cabarrus County,web-browsing,firehose.us-east-1.amazonaws.com/,192.168.70.61,1
