Top values of organization.name,Top values of network.application,Top values of source.ip,Count of records,Analysis Conducted(Y/N) ,Threat Found(Y/N) ,Device name 
Cabarrus County,apache-solr,172.30.223.1,970,,,N/A
Cabarrus County,apache-solr,10.10.15.44,109,,,SHFDJMCCOMBS
Cabarrus County,apache-solr,10.25.5.206,105,,,LIBCONHISTORY
Cabarrus County,apache-solr,10.9.4.145,54,,,N/A
Cabarrus County,apache-solr,10.9.13.159,42,,,N/A
Cabarrus County,apache-solr,192.168.70.154,27,,,N/A
Cabarrus County,apache-solr,10.10.15.27,12,,,N/A
Cabarrus County,apache-solr,192.168.70.29,7,,,N/A
Cabarrus County,apache-solr,10.25.5.175,6,,,MPLIBSTAFF-9
Cabarrus County,apache-solr,10.9.13.186,5,,,IAMPARTSROOMPC
Cabarrus County,apache-solr,192.168.70.109,5,,,N/A
Cabarrus County,apache-solr,10.10.15.53,3,,,SHFRECORDSPC9
Biz Technology Solutions,apache-solr,10.10.2.1,380,,,
Town of Mooresville,apache-solr,10.189.98.199,92,,,
Town of Mooresville,ssl,10.140.11.121,21,,,
Town of Mooresville,ssl,10.210.98.99,8,,,
Town of Mooresville,ssl,10.140.11.52,4,,,
Town of Mooresville,ssl,10.140.11.118,4,,,
Town of Mooresville,ssl,10.210.98.36,2,,,
Town of Mooresville,ssl,10.140.11.94,1,,,
Corvid Cyberdefense,owncloud-base,68.71.162.15,68,,,
Corvid Cyberdefense,owncloud-base,10.51.255.134,43,,,
Corvid Cyberdefense,owncloud-base,75.88.241.58,5,,,
Corvid Cyberdefense,owncloud-base,71.30.77.177,2,,,
Corvid Cyberdefense,owncloud-base,98.21.156.105,1,,,
Corvid Cyberdefense,web-browsing,10.51.7.70,3,,,
Corvid Cyberdefense,web-browsing,10.51.10.16,3,,,
Corvid Cyberdefense,web-browsing,10.51.255.120,1,,,
Corvid Cyberdefense,web-browsing,10.51.255.125,1,,,
Corvid Cyberdefense,apt-get,10.53.11.14,1,,,
Corvid Cyberdefense,owncloud-downloading,10.51.255.149,1,,,
"Robinson Gray Stepp & Laffitte, LLC",apache-solr,192.168.50.195,101,,,
Haven Cloud,apache-solr,172.25.81.186,70,,,
Sterling Construction Company,HTTPS.BROWSER,10.130.96.217,15,,,
Sterling Construction Company,HTTPS.BROWSER,10.130.16.66,10,,,
Sterling Construction Company,HTTPS.BROWSER,10.130.16.80,9,,,
Sterling Construction Company,HTTPS.BROWSER,10.130.40.184,6,,,
Sterling Construction Company,HTTPS.BROWSER,10.130.80.21,4,,,
Sterling Construction Company,HTTPS.BROWSER,10.130.1.36,3,,,
Sterling Construction Company,HTTPS.BROWSER,10.130.120.170,3,,,
Sterling Construction Company,HTTPS.BROWSER,10.130.120.141,2,,,
Sterling Construction Company,HTTPS.BROWSER,10.130.136.114,2,,,
Sterling Construction Company,HTTPS.BROWSER,10.130.0.108,1,,,
Sterling Construction Company,HTTPS.BROWSER,10.130.16.21,1,,,
Sterling Construction Company,HTTPS.BROWSER,10.130.16.179,1,,,
Sterling Construction Company,HTTP.BROWSER_Chrome,10.130.136.129,2,,,
Sterling Construction Company,HTTP.BROWSER_Chrome,10.130.8.13,1,,,
Sterling Construction Company,HTTP.BROWSER_Chrome,45.146.164.110,1,,,
Sterling Construction Company,DNS,45.155.205.233,3,,,
unknown,apache-solr,195.54.160.149,56,,,
New Jersey Urology,apache-solr,172.28.130.104,1,,,
Goalsetter,apache-solr,172.28.1.62,19,,,
Goalsetter,apache-solr,172.28.132.177,8,,,
Goalsetter,apache-solr,172.16.9.183,3,,,
Boyd Corp,apache-solr,172.18.254.9,11,,,
Boyd Corp,apache-solr,10.4.2.42,4,,,
Boyd Corp,web-browsing,10.4.2.41,6,,,
Boyd Corp,web-browsing,10.130.56.209,2,,,
Boyd Corp,web-browsing,10.3.12.47,2,,,
Boyd Corp,ssl,10.124.189.110,2,,,
Boyd Corp,http-proxy,,1,,,
Brainchip Inc,ssl,,6,,,
LogicForce,apache-solr,,4,,,
LogicForce,apache-solr,,2,,,
FCS Communications,apache-solr,,2,,,
GIGA Data Centers,ssl,,1,,,
GIGA Data Centers,web-browsing,,1,,,
Sterling Construction,ssl,,2,,,
"Wolfe, Inc.",apache-solr,,2,,,
Corvid Technologies,ms-ds-smbv3,,1,,,
FP1 Strategies,ssl,,1,,,
Joe Gibbs Racing,apache-solr,,1,,,
Schiffmans Jewelers,apache-solr,,1,,,
Webb Sanders,apache-solr,,1,,,
