Top values of organization.name,Top values of network.application,Top values of source.ip,Top values of url.original,Count of records,Analysis Conducted(Y/N) ,Threat Found(Y/N) ,Device name 
Burger Fi,ssl,192.168.11.34,atlassian-outlook-integr.services.atlassian.com/,52,,,
Burger Fi,ssl,192.168.14.128,atlassian.net/,4,,,
Burger Fi,ssl,192.168.11.99,atlassian-outlook-integr.services.atlassian.com/,51,,,
Burger Fi,ssl,192.168.11.77,atlassian.net/,38,,,
Burger Fi,ssl,192.168.11.103,atlassian.net/,26,,,
Burger Fi,ssl,192.168.11.40,atlassian.net/,18,,,
Burger Fi,ssl,192.168.11.61,atlassian-outlook-integr.services.atlassian.com/,8,,,
Burger Fi,ssl,192.168.11.32,atlassian.net/,20,,,
Burger Fi,ssl,192.168.11.114,atlassian.net/,18,,,
Burger Fi,ssl,192.168.11.84,atlassian.net/,16,,,
Burger Fi,ssl,192.168.11.159,atlassian-outlook-integr.services.atlassian.com/,16,,,
Burger Fi,ssl,192.168.14.118,atlassianblog.wpengine.com/,12,,,
Burger Fi,ssl,192.168.14.103,atlassian.net/,10,,,
Burger Fi,ssl,192.168.11.35,atlassian.net/,8,,,
Burger Fi,ssl,192.168.11.76,atlassian-outlook-integr.services.atlassian.com/,2,,,
Burger Fi,ssl,192.168.11.163,atlassian.net/,8,,,
Burger Fi,ssl,192.168.11.186,atlassian.net/,4,,,
Burger Fi,ssl,192.168.11.206,atlassian.net/,4,,,
Burger Fi,ssl,192.168.11.83,atlassian.net/,4,,,
Burger Fi,ssl,192.168.11.143,atlassian.net/,4,,,
Burger Fi,ssl,192.168.11.215,atlassian.net/,4,,,
Burger Fi,ssl,192.168.14.127,atlassian-outlook-integr.services.atlassian.com/,2,,,
Burger Fi,ssl,192.168.200.199,atlassian-outlook-integr.services.atlassian.com/,2,,,
Burger Fi,ssl,192.168.200.140,atlassian.net/,2,,,
Burger Fi,ssl,192.168.202.10,atlassian-outlook-integr.services.atlassian.com/,1,,,
New Jersey Urology,ssl,192.168.200.49,atlassian.net/,12,,,
New Jersey Urology,ssl,192.168.202.185,atlassian.net/,10,,,
New Jersey Urology,ssl,192.168.202.47,atlassian.net/,4,,,
New Jersey Urology,ssl,192.168.200.50,atlassian.et.e.sparkpost.com/,3,,,
New Jersey Urology,ssl,192.168.202.250,atlassian.et.e.sparkpost.com/,6,,,
New Jersey Urology,ssl,192.168.200.32,atlassian.et.e.sparkpost.com/,6,,,
New Jersey Urology,ssl,192.168.200.101,atlassian.et.e.sparkpost.com/,5,,,
New Jersey Urology,ssl,192.168.200.134,atlassian.et.e.sparkpost.com/,4,,,
New Jersey Urology,ssl,192.168.200.156,atlassian.et.e.sparkpost.com/,3,,,
New Jersey Urology,ssl,192.168.200.173,atlassian.net/,2,,,
New Jersey Urology,ssl,192.168.200.84,atlassian.net/,2,,,
New Jersey Urology,ssl,192.168.200.110,atlassian.net/,2,,,
New Jersey Urology,ssl,192.168.202.165,atlassian.net/,2,,,
New Jersey Urology,ssl,192.168.200.219,atlassian.net/,2,,,
New Jersey Urology,ssl,192.168.200.44,atlassian.net/,1,,,
New Jersey Urology,ssl,172.25.81.9,atlassian.et.e.sparkpost.com/,1,,,
New Jersey Urology,ssl,172.25.99.254,atlassian.et.e.sparkpost.com/,1,,,
New Jersey Urology,web-browsing,172.25.88.182,atlassian.et.e.sparkpost.com/q/RbblBVOjNy4xjmt84qMvRw~~/AAAAAQA~/RgRjPuU6PlcLYXRsYXNzaWFudXNCCmFbOmBcYVUnxzlSFmpjb3JjaW5vQG5qdXJvbG9neS5jb21YBAAAAAQ~,2,,,
New Jersey Urology,web-browsing,172.18.254.28,atlassian.et.e.sparkpost.com/q/Vtw60t5duWW6YTugIvHWdA~~/AAAAAQA~/RgRjh4FHPlcLYXRsYXNzaWFudXNCCmGMR_ykYRT4oMlSGnRib3VjaGFjb3VydEBuanVyb2xvZ3kuY29tWAQAAAAE,1,,,
Justice Bid,web-browsing,172.18.254.48,atlassian-icons.woff,12,,,
Justice Bid,web-browsing,172.18.254.45,atlassian-slack-integration.services.atlassian.com/img/slack-logo-grey.svg,1,,,
Justice Bid,web-browsing,172.18.10.16,atlassian-slack-integration.services.atlassian.com/issue_panel?xdm_e=https://justicebid.atlassian.net&xdm_c=channel-jira-slack-integration__slack-issue-panel-glance-3439143509280866766&cp=&xdm_deprecated_addon_key_do_not_use=jira-slack-integration&lic=none&cv=1001.0.0-SNAPSHOT&jwt=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJzdWIiOiI2MDE3YWFhYzMzMmNiZTAwNzBmYzA5MjYiLCJxc2giOiIxZWJiZGVhYzdjMzJhOTgwMjMzYTQxMDc0NWMwNjNlYTljYTI5YjRkMDk5OTQwNmMwOThiMzFlMDgxYzVlMTkwIiwiaXNzIjoiamlyYTpmZjdjNWU4ZS1jYmJhLTQyZGQtYWJjYy1mNWJmZmQxNGRkMDgiLCJjb250ZXh0Ijp7ImNsb3VkSWQiOiI0YWQ5ZDk4Ny0yMjRmLTRiOGMtYmE4ZC00ZDg2NDIzNzJjY2EifSwiZXhwIjoxNjM3NTk2NjkxLCJpYXQiOjE2Mzc1OTU3OTF9.2Lb2bAHmmxUMG5dWx5V8lndwFdzUt7g36WggrhKt7H8,1,,,
Justice Bid,web-browsing,172.18.20.53,atlassian-slack-integration.services.atlassian.com/issue_panel?xdm_e=https://justicebid.atlassian.net&xdm_c=channel-jira-slack-integration__slack-issue-panel-glance-3439143509280866766&cp=&xdm_deprecated_addon_key_do_not_use=jira-slack-integration&lic=none&cv=1001.0.0-SNAPSHOT&jwt=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJzdWIiOiI2MDE3YWFhYzMzMmNiZTAwNzBmYzA5MjYiLCJxc2giOiIxZWJiZGVhYzdjMzJhOTgwMjMzYTQxMDc0NWMwNjNlYTljYTI5YjRkMDk5OTQwNmMwOThiMzFlMDgxYzVlMTkwIiwiaXNzIjoiamlyYTpmZjdjNWU4ZS1jYmJhLTQyZGQtYWJjYy1mNWJmZmQxNGRkMDgiLCJjb250ZXh0Ijp7ImNsb3VkSWQiOiI0YWQ5ZDk4Ny0yMjRmLTRiOGMtYmE4ZC00ZDg2NDIzNzJjY2EifSwiZXhwIjoxNjM4OTY0MjI5LCJpYXQiOjE2Mzg5NjMzMjl9.Ilo8XlAPrrb44HqjrKWVbVhgk_mQhpRbXniMmTFRpBA,1,,,
Justice Bid,web-browsing,172.18.50.25,atlassian-slack-integration.services.atlassian.com/issue_panel?xdm_e=https://justicebid.atlassian.net&xdm_c=channel-jira-slack-integration__slack-issue-panel-glance-3439143509280866766&cp=&xdm_deprecated_addon_key_do_not_use=jira-slack-integration&lic=none&cv=1001.0.0-SNAPSHOT&jwt=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJzdWIiOiI2MDE3YWFhYzMzMmNiZTAwNzBmYzA5MjYiLCJxc2giOiIxZWJiZGVhYzdjMzJhOTgwMjMzYTQxMDc0NWMwNjNlYTljYTI5YjRkMDk5OTQwNmMwOThiMzFlMDgxYzVlMTkwIiwiaXNzIjoiamlyYTpmZjdjNWU4ZS1jYmJhLTQyZGQtYWJjYy1mNWJmZmQxNGRkMDgiLCJjb250ZXh0Ijp7ImNsb3VkSWQiOiI0YWQ5ZDk4Ny0yMjRmLTRiOGMtYmE4ZC00ZDg2NDIzNzJjY2EifSwiZXhwIjoxNjM4OTY0NDY5LCJpYXQiOjE2Mzg5NjM1Njl9.BcZVLqYGLztirz09tBP7-UAki1VgUOeSTAALd1NF040,1,,,
Justice Bid,web-browsing,172.18.254.10,atlassian-slack-integration.services.atlassian.com/issue_panel?xdm_e=https://justicebid.atlassian.net&xdm_c=channel-jira-slack-integration__slack-issue-panel-glance-6789313165087634909&cp=&xdm_deprecated_addon_key_do_not_use=jira-slack-integration&lic=none&cv=1001.0.0-SNAPSHOT&jwt=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJzdWIiOiI2MDE3YWFhYzMzMmNiZTAwNzBmYzA5MjYiLCJxc2giOiI4N2Y2YjQ5YjdiMDQzN2ZkMjk1NTllZjQ3MTUwZTkxYzQxYjQ2M2NiNmQxZDY5YzQwODAwM2JlYWY1NDRjNTM2IiwiaXNzIjoiamlyYTpmZjdjNWU4ZS1jYmJhLTQyZGQtYWJjYy1mNWJmZmQxNGRkMDgiLCJjb250ZXh0Ijp7ImNsb3VkSWQiOiI0YWQ5ZDk4Ny0yMjRmLTRiOGMtYmE4ZC00ZDg2NDIzNzJjY2EifSwiZXhwIjoxNjMyMjMyNDAxLCJpYXQiOjE2MzIyMzE1MDF9.Op4TgQDttMgKwEnuVEqUmSOr78H6nJiS0J7l6-00ark,1,,,
Justice Bid,web-browsing,172.25.80.212,atlassian-icons.woff,8,,,
Justice Bid,web-browsing,172.25.99.169,atlassian-slack-integration.services.atlassian.com/issue_panel?xdm_e=https://justicebid.atlassian.net&xdm_c=channel-jira-slack-integration__slack-issue-panel-glance-3439143509280866766&cp=&xdm_deprecated_addon_key_do_not_use=jira-slack-integration&lic=none&cv=1001.0.0-SNAPSHOT&jwt=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJzdWIiOiI2MDE3YWFhYzMzMmNiZTAwNzBmYzA5MjYiLCJxc2giOiIxZWJiZGVhYzdjMzJhOTgwMjMzYTQxMDc0NWMwNjNlYTljYTI5YjRkMDk5OTQwNmMwOThiMzFlMDgxYzVlMTkwIiwiaXNzIjoiamlyYTpmZjdjNWU4ZS1jYmJhLTQyZGQtYWJjYy1mNWJmZmQxNGRkMDgiLCJjb250ZXh0Ijp7ImNsb3VkSWQiOiI0YWQ5ZDk4Ny0yMjRmLTRiOGMtYmE4ZC00ZDg2NDIzNzJjY2EifSwiZXhwIjoxNjM3NTAyMTI5LCJpYXQiOjE2Mzc1MDEyMjl9.zG4fcVL5-BKDG6jsm5XTzjr2lAE8Rt20OKh6R3oC_eY,1,,,
Justice Bid,web-browsing,172.25.81.88,atlassian-slack-integration.services.atlassian.com/issue_panel?xdm_e=https://justicebid.atlassian.net&xdm_c=channel-jira-slack-integration__slack-issue-panel-glance-3439143509280866766&cp=&xdm_deprecated_addon_key_do_not_use=jira-slack-integration&lic=none&cv=1001.0.0-SNAPSHOT&jwt=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJzdWIiOiI2MDE3YWFhYzMzMmNiZTAwNzBmYzA5MjYiLCJxc2giOiIxZWJiZGVhYzdjMzJhOTgwMjMzYTQxMDc0NWMwNjNlYTljYTI5YjRkMDk5OTQwNmMwOThiMzFlMDgxYzVlMTkwIiwiaXNzIjoiamlyYTpmZjdjNWU4ZS1jYmJhLTQyZGQtYWJjYy1mNWJmZmQxNGRkMDgiLCJjb250ZXh0Ijp7ImNsb3VkSWQiOiI0YWQ5ZDk4Ny0yMjRmLTRiOGMtYmE4ZC00ZDg2NDIzNzJjY2EifSwiZXhwIjoxNjM3MzM0MTU3LCJpYXQiOjE2MzczMzMyNTd9.KWR-lC0TdSQJ3dBi2uEvaXuRL57-jOY8h0h_ms6pchk,1,,,
Brainchip Inc,ssl,10.14.11.14,atlassian.net/,8,,,
Brainchip Inc,ssl,10.0.0.86,atlassian.net/,8,,,
Brainchip Inc,ssl,10.129.3.213,atlassian.net/,5,,,
Brainchip Inc,ssl,10.129.3.91,atlassian.net/,1,,,
Brainchip Inc,ssl,10.129.3.56,atlassian.net/,1,,,
Brainchip Inc,ssl,10.129.3.218,atlassian.net/,1,,,
