Top values of organization.name,Top values of network.application,Top values of url.original,Top values of source.ip,Count of records,Analysis Conducted(Y/N) ,Threat Found(Y/N) ,Device name 
Corvid Cyberdefense,web-browsing,broadcom-logo.png,10.51.255.120,1,,,
Corvid Cyberdefense,web-browsing,broadcom-logo.png,10.51.255.131,1,,,
Corvid Cyberdefense,web-browsing,broadcom-logo.png,10.51.255.133,1,,,
Corvid Cyberdefense,web-browsing,broadcom-logo.png,10.51.255.150,1,,,
Corvid Cyberdefense,web-browsing,broadcom-logo.webp,10.51.255.137,1,,,
Corvid Cyberdefense,web-browsing,broadcom-logo.webp,10.9.9.167,1,,,
Corvid Cyberdefense,web-browsing,broadcom_icon_2.png,10.9.9.163,1,,,
Corvid Cyberdefense,web-browsing,broadcom_swiper.css,192.168.11.155,1,,,
Cabarrus County,web-browsing,broadcom-logo.webp,172.25.80.211,2,,,
Cabarrus County,limelight,broadcom_endpointprotection_1080p.mp4,,1,,,
Boyd Corp,webex-base,broadcom.webex.com/,,1,,,
Crystal Management,webex-base,broadcom-logo.png,,1,,,
