Top values of organization.name,Top values of network.application,Top values of source.ip,Count of records,Analysis Conducted(Y/N) ,Threat Found ,Device name 
Barr Brands,cisco-rtmt,172.20.15.200,"1,978,797",,,
Barr Brands,cisco-rtmt,172.20.15.202,"500,978",,,
Barr Brands,cisco-rtmt,172.20.15.204,"494,495",,,
Barr Brands,cisco-rtmt,192.168.1.235,44,,,
Barr Brands,cisco-spark-audio-video,172.20.11.79,"46,510",,Cisco Webex Meetings Server,
Barr Brands,cisco-spark-audio-video,172.20.11.153,"6,643",,Cisco Webex Meetings Server,
Barr Brands,cisco-spark-audio-video,10.1.9.35,44,,Cisco Webex Meetings Server,
Barr Brands,cisco-spark-audio-video,10.1.9.22,10,,Cisco Webex Meetings Server,
Barr Brands,cisco-spark-audio-video,10.1.9.33,10,,Cisco Webex Meetings Server,
Barr Brands,cisco-spark-audio-video,172.20.11.213,2,,Cisco Webex Meetings Server,
Barr Brands,cisco-spark-base,172.20.13.68,282,,Cisco Webex Meetings Server,
Barr Brands,cisco-spark-base,172.20.13.122,248,,Cisco Webex Meetings Server,
Barr Brands,cisco-spark-base,172.20.12.135,156,,Cisco Webex Meetings Server,
Barr Brands,cisco-spark-base,192.168.20.130,140,,Cisco Webex Meetings Server,
Barr Brands,cisco-spark-base,10.1.9.10,56,,Cisco Webex Meetings Server,
Barr Brands,cisco-spark-base,172.20.13.36,54,,Cisco Webex Meetings Server,
Barr Brands,cisco-spark-base,172.18.11.8,50,,Cisco Webex Meetings Server,
Barr Brands,cisco-spark-base,172.18.11.29,50,,Cisco Webex Meetings Server,
Barr Brands,cisco-spark-base,172.20.11.110,48,,Cisco Webex Meetings Server,
Barr Brands,cisco-spark-base,172.20.11.101,40,,Cisco Webex Meetings Server,
Barr Brands,cisco-spark-base,172.20.12.12,40,,Cisco Webex Meetings Server,
Barr Brands,cisco-spark-base,172.20.13.39,34,,Cisco Webex Meetings Server,
Barr Brands,cisco-spark-base,172.20.11.75,32,,Cisco Webex Meetings Server,
Barr Brands,cisco-spark-base,172.20.12.150,32,,Cisco Webex Meetings Server,
Barr Brands,cisco-spark-base,172.20.11.183,30,,Cisco Webex Meetings Server,
Barr Brands,cisco-spark-base,172.20.12.62,30,,Cisco Webex Meetings Server,
Barr Brands,cisco-spark-base,172.20.12.254,30,,Cisco Webex Meetings Server,
Barr Brands,cisco-spark-base,172.20.12.89,28,,Cisco Webex Meetings Server,
Barr Brands,cisco-spark-base,172.20.11.135,26,,Cisco Webex Meetings Server,
Barr Brands,cisco-spark-base,172.20.11.109,22,,Cisco Webex Meetings Server,
Barr Brands,cisco-spark-base,172.20.11.106,20,,Cisco Webex Meetings Server,
Barr Brands,cisco-spark-base,172.18.11.4,18,,Cisco Webex Meetings Server,
Barr Brands,cisco-spark-base,172.20.12.176,18,,Cisco Webex Meetings Server,
Barr Brands,cisco-spark-base,172.20.12.98,16,,Cisco Webex Meetings Server,
Barr Brands,cisco-spark-base,172.20.12.111,16,,Cisco Webex Meetings Server,
Barr Brands,cisco-spark-base,192.168.20.126,16,,Cisco Webex Meetings Server,
Barr Brands,cisco-spark-base,172.20.11.1,14,,Cisco Webex Meetings Server,
Barr Brands,cisco-spark-base,172.20.11.170,14,,Cisco Webex Meetings Server,
Barr Brands,cisco-spark-base,172.18.11.20,12,,Cisco Webex Meetings Server,
Barr Brands,cisco-spark-base,172.20.11.201,12,,Cisco Webex Meetings Server,
Barr Brands,cisco-spark-base,172.20.12.192,12,,Cisco Webex Meetings Server,
Barr Brands,cisco-spark-base,172.18.11.12,10,,Cisco Webex Meetings Server,
Barr Brands,cisco-spark-base,172.18.11.18,10,,Cisco Webex Meetings Server,
Barr Brands,cisco-spark-base,172.20.11.7,10,,Cisco Webex Meetings Server,
Barr Brands,cisco-spark-base,172.20.11.65,10,,Cisco Webex Meetings Server,
Barr Brands,cisco-spark-base,172.20.11.108,10,,Cisco Webex Meetings Server,
Barr Brands,cisco-spark-base,172.20.11.210,10,,Cisco Webex Meetings Server,
Barr Brands,cisco-spark-base,172.20.12.10,10,,Cisco Webex Meetings Server,
Barr Brands,cisco-spark-base,192.168.20.20,10,,Cisco Webex Meetings Server,
Barr Brands,cisco-spark-base,10.1.9.16,8,,Cisco Webex Meetings Server,
Barr Brands,cisco-spark-base,172.18.11.6,8,,Cisco Webex Meetings Server,
Barr Brands,cisco-spark-base,172.18.11.11,8,,Cisco Webex Meetings Server,
Barr Brands,cisco-spark-base,172.18.11.14,8,,Cisco Webex Meetings Server,
Barr Brands,cisco-spark-base,172.19.10.11,8,,Cisco Webex Meetings Server,
Barr Brands,cisco-spark-base,172.20.11.118,8,,Cisco Webex Meetings Server,
Barr Brands,cisco-spark-base,172.20.12.39,8,,Cisco Webex Meetings Server,
Barr Brands,cisco-spark-base,172.20.12.118,8,,Cisco Webex Meetings Server,
Barr Brands,cisco-spark-base,172.20.12.203,8,,Cisco Webex Meetings Server,
Barr Brands,cisco-spark-base,10.1.9.59,6,,Cisco Webex Meetings Server,
Barr Brands,cisco-spark-base,172.10.1.206,6,,Cisco Webex Meetings Server,
Barr Brands,cisco-spark-base,172.18.11.24,6,,Cisco Webex Meetings Server,
Barr Brands,cisco-spark-base,172.20.11.161,6,,Cisco Webex Meetings Server,
Barr Brands,cisco-spark-base,10.1.9.5,4,,Cisco Webex Meetings Server,
Barr Brands,cisco-spark-base,10.1.9.8,4,,Cisco Webex Meetings Server,
Barr Brands,cisco-spark-base,10.1.9.13,4,,Cisco Webex Meetings Server,
Barr Brands,cisco-spark-base,10.1.9.17,4,,Cisco Webex Meetings Server,
Barr Brands,cisco-spark-base,10.1.9.34,4,,Cisco Webex Meetings Server,
Barr Brands,cisco-spark-base,10.1.9.38,4,,Cisco Webex Meetings Server,
Barr Brands,cisco-spark-base,172.18.11.35,4,,Cisco Webex Meetings Server,
Barr Brands,cisco-spark-base,172.20.11.156,4,,Cisco Webex Meetings Server,
Barr Brands,cisco-spark-base,172.20.11.191,4,,Cisco Webex Meetings Server,
Barr Brands,cisco-spark-base,172.20.11.218,4,,Cisco Webex Meetings Server,
Barr Brands,cisco-spark-base,172.20.11.223,4,,Cisco Webex Meetings Server,
Barr Brands,cisco-spark-base,172.20.13.132,4,,Cisco Webex Meetings Server,
Barr Brands,cisco-spark-base,192.168.20.129,4,,Cisco Webex Meetings Server,
Barr Brands,cisco-spark-base,10.1.9.2,2,,Cisco Webex Meetings Server,
Barr Brands,cisco-spark-base,10.1.9.6,2,,Cisco Webex Meetings Server,
Barr Brands,cisco-spark-base,10.1.9.14,2,,Cisco Webex Meetings Server,
Barr Brands,cisco-spark-base,10.1.9.23,2,,Cisco Webex Meetings Server,
Barr Brands,cisco-spark-base,10.1.9.27,2,,Cisco Webex Meetings Server,
Barr Brands,cisco-spark-base,10.1.9.48,2,,Cisco Webex Meetings Server,
Barr Brands,cisco-spark-base,172.18.11.31,2,,Cisco Webex Meetings Server,
Barr Brands,cisco-spark-base,172.20.11.62,2,,Cisco Webex Meetings Server,
Barr Brands,cisco-spark-base,172.20.11.136,2,,Cisco Webex Meetings Server,
Barr Brands,cisco-spark-base,172.20.12.164,2,,Cisco Webex Meetings Server,
Barr Brands,ssl,172.20.15.137,462,,,
Barr Brands,ssl,10.100.0.11,68,,,
Barr Brands,ssl,172.20.12.47,5,,,
Barr Brands,ssl,172.10.1.230,4,,,
Barr Brands,ssl,172.20.11.139,4,,,
Barr Brands,ssl,10.100.0.31,2,,,
Barr Brands,ssl,172.18.11.70,2,,,
Barr Brands,ssl,172.20.12.8,2,,,
Barr Brands,web-browsing,172.23.1.6,6,,,
Town of Mooresville,cisco-spark-audio-video,10.140.11.97,"82,151",,Cisco Webex Meetings Server,
Town of Mooresville,cisco-spark-audio-video,10.128.253.77,"69,094",,Cisco Webex Meetings Server,
Town of Mooresville,cisco-spark-audio-video,10.128.11.35,"61,306",,Cisco Webex Meetings Server,
Town of Mooresville,cisco-spark-audio-video,10.180.11.30,"24,687",,Cisco Webex Meetings Server,
Town of Mooresville,cisco-spark-audio-video,10.128.11.88,"24,494",,Cisco Webex Meetings Server,
Town of Mooresville,cisco-spark-audio-video,10.128.11.69,"17,316",,Cisco Webex Meetings Server,
Town of Mooresville,cisco-spark-audio-video,10.128.253.76,"11,128",,Cisco Webex Meetings Server,
Town of Mooresville,cisco-spark-audio-video,10.128.11.115,"6,716",,Cisco Webex Meetings Server,
Town of Mooresville,cisco-spark-audio-video,10.151.11.67,"5,126",,Cisco Webex Meetings Server,
Town of Mooresville,cisco-spark-audio-video,10.128.253.65,"4,444",,Cisco Webex Meetings Server,
Town of Mooresville,cisco-spark-audio-video,10.128.253.47,"4,299",,Cisco Webex Meetings Server,
Town of Mooresville,cisco-spark-audio-video,10.128.11.56,"3,261",,Cisco Webex Meetings Server,
Town of Mooresville,cisco-spark-audio-video,10.128.253.66,"3,119",,Cisco Webex Meetings Server,
Town of Mooresville,cisco-spark-audio-video,10.128.253.36,"2,636",,Cisco Webex Meetings Server,
Town of Mooresville,cisco-spark-audio-video,10.128.253.61,"2,578",,Cisco Webex Meetings Server,
Town of Mooresville,cisco-spark-audio-video,10.180.253.39,"2,157",,Cisco Webex Meetings Server,
