Top values of organization.name,Top values of network.application,Top values of url.original,Count of records,Analysis Conducted(Y/N) ,Threat Found(Y/N) ,Device name 
"Leitner, Williams, Dooley and Napolitan",web-browsing,10.41.20.39:8000/mccuiconfig,"270,498",,,
"Leitner, Williams, Dooley and Napolitan",web-browsing,10.41.20.36:8000/mccuiconfig,"268,901",,,
"Leitner, Williams, Dooley and Napolitan",web-browsing,10.41.20.37:8000/mccuiconfig,"267,122",,,
"Leitner, Williams, Dooley and Napolitan",web-browsing,10.41.20.21:8000/mccuiconfig,"265,519",,,
"Leitner, Williams, Dooley and Napolitan",web-browsing,10.41.20.37:8000/lmcuiconfig,"258,938",,,
"Leitner, Williams, Dooley and Napolitan",web-browsing,10.41.20.36:8000/lmcuiconfig,"258,916",,,
"Leitner, Williams, Dooley and Napolitan",web-browsing,10.41.20.39:8000/lmcuiconfig,"258,915",,,
"Leitner, Williams, Dooley and Napolitan",web-browsing,10.41.20.21:8000/lmcuiconfig,"258,738",,,
"Leitner, Williams, Dooley and Napolitan",web-browsing,10.41.20.36/elf/installer,"8,147",,,
"Leitner, Williams, Dooley and Napolitan",web-browsing,10.41.20.37/elf/installer,"8,147",,,
"Leitner, Williams, Dooley and Napolitan",web-browsing,10.41.20.39/elf/installer,"8,144",,,
"Leitner, Williams, Dooley and Napolitan",web-browsing,10.41.20.21/elf/installer,"8,140",,,
"Leitner, Williams, Dooley and Napolitan",web-browsing,10.41.20.37/,"1,200",,,
"Leitner, Williams, Dooley and Napolitan",web-browsing,10.41.20.39/,"1,200",,,
"Leitner, Williams, Dooley and Napolitan",web-browsing,10.41.20.21/,"1,198",,,
"Leitner, Williams, Dooley and Napolitan",web-browsing,10.41.20.36/,"1,197",,,
"Leitner, Williams, Dooley and Napolitan",web-browsing,10.41.20.21/dinfo.cgi,597,,,
"Leitner, Williams, Dooley and Napolitan",web-browsing,10.41.20.26/SSI/info_configuration.htm,597,,,
"Leitner, Williams, Dooley and Napolitan",web-browsing,10.41.20.37/dinfo.cgi,597,,,
"Leitner, Williams, Dooley and Napolitan",web-browsing,10.41.20.39/dinfo.cgi,597,,,
"Leitner, Williams, Dooley and Napolitan",web-browsing,10.41.20.46/SSI/info_configuration.htm,597,,,
"Leitner, Williams, Dooley and Napolitan",web-browsing,10.41.20.36/dinfo.cgi,596,,,
"Leitner, Williams, Dooley and Napolitan",web-browsing,10.41.20.31/SSI/info_configuration.htm,586,,,
"Leitner, Williams, Dooley and Napolitan",web-browsing,10.41.20.47/etc/mnt_info.html,586,,,
"Leitner, Williams, Dooley and Napolitan",web-browsing,10.41.20.42/SSI/info_configuration.htm,578,,,
"Leitner, Williams, Dooley and Napolitan",web-browsing,10.41.20.30/etc/mnt_info.html,486,,,
"Leitner, Williams, Dooley and Napolitan",web-browsing,10.41.20.30/SSI/info_configuration.htm,337,,,
"Leitner, Williams, Dooley and Napolitan",web-browsing,10.41.20.30/SSI/configuration_info.htm,245,,,
"Leitner, Williams, Dooley and Napolitan",web-browsing,10.41.20.40/SSI/info_configuration.htm,44,,,
"Leitner, Williams, Dooley and Napolitan",web-browsing,10.41.20.39:8000/usermode,16,,,
"Leitner, Williams, Dooley and Napolitan",web-browsing,10.41.20.37:8000/rps/bcomdocs.cgi?,14,,,
"Leitner, Williams, Dooley and Napolitan",web-browsing,10.41.20.39:8000/,14,,,
"Leitner, Williams, Dooley and Napolitan",web-browsing,10.41.20.39:8000/login,14,,,
"Leitner, Williams, Dooley and Napolitan",web-browsing,10.41.20.37:8000/,12,,,
"Leitner, Williams, Dooley and Napolitan",web-browsing,10.41.20.39:8000/rlsresources/ImageHandler/representation/rls/images/logo_small.png,12,,,
"Leitner, Williams, Dooley and Napolitan",web-browsing,10.41.20.39:8000/rps/,12,,,
"Leitner, Williams, Dooley and Napolitan",web-browsing,10.41.20.36:8000/rps/,11,,,
"Leitner, Williams, Dooley and Napolitan",web-browsing,10.41.20.37:8000/rlsresources/ImageHandler/representation/rls/images/logo_small.png,11,,,
"Leitner, Williams, Dooley and Napolitan",web-browsing,10.41.20.37:8000/rps/,11,,,
"Leitner, Williams, Dooley and Napolitan",web-browsing,10.41.20.39:8000/rlsresources/ImageHandler/representation/rls/images/1px.gif,10,,,
"Leitner, Williams, Dooley and Napolitan",web-browsing,10.41.20.39:8000/rlsresources/ImageHandler/representation/rls/images/ltr_area_quicknavi.jpg,10,,,
"Leitner, Williams, Dooley and Napolitan",web-browsing,10.41.20.39:8000/rlsresources/ImageHandler/representation/rls/images/ltr_frame_mainmenue_transparent.gif,10,,,
"Leitner, Williams, Dooley and Napolitan",web-browsing,10.41.20.39:8000/rlsresources/ImageHandler/representation/rls/images/ltr_header_arc_bottom.jpg,10,,,
"Leitner, Williams, Dooley and Napolitan",web-browsing,10.41.20.39:8000/rlsresources/ImageHandler/representation/rls/images/ltr_header_arc_top.jpg,10,,,
"Leitner, Williams, Dooley and Napolitan",web-browsing,10.41.20.39:8000/rlsresources/ImageHandler/representation/rls/images/ltr_header_mainmenue_bottom.jpg,10,,,
"Leitner, Williams, Dooley and Napolitan",web-browsing,10.41.20.39:8000/rlsresources/ImageHandler/representation/rls/images/ltr_header_mainmenue_top.jpg,10,,,
"Leitner, Williams, Dooley and Napolitan",web-browsing,10.41.20.39:8000/rlsresources/ImageHandler/representation/rls/images/ltr_header_rectangle_left.jpg,10,,,
"Leitner, Williams, Dooley and Napolitan",web-browsing,10.41.20.39:8000/rlsresources/ImageHandler/representation/rls/images/ltr_header_rectangle_right.jpg,10,,,
"Leitner, Williams, Dooley and Napolitan",web-browsing,10.41.20.39:8000/rlsresources/ImageHandler/representation/rls/images/ltr_header_redline_horiz.jpg,10,,,
"Leitner, Williams, Dooley and Napolitan",web-browsing,10.41.20.39:8000/rlsresources/ImageHandler/representation/rls/images/ltr_header_spacer1.jpg,10,,,
"Leitner, Williams, Dooley and Napolitan",web-browsing,10.41.20.39:8000/rlsresources/ImageHandler/representation/rls/images/ltr_header_spacer2.jpg,10,,,
"Leitner, Williams, Dooley and Napolitan",web-browsing,10.41.20.39:8000/rlsresources/ImageHandler/representation/rls/images/ltr_tb_left_bot.png,10,,,
"Leitner, Williams, Dooley and Napolitan",web-browsing,10.41.20.39:8000/rlsresources/ImageHandler/representation/rls/images/ltr_tb_left_top.png,10,,,
"Leitner, Williams, Dooley and Napolitan",web-browsing,10.41.20.39:8000/rlsresources/ImageHandler/representation/rls/images/ltr_tb_right_bot.png,10,,,
"Leitner, Williams, Dooley and Napolitan",web-browsing,10.41.20.39:8000/rlsresources/ImageHandler/representation/rls/images/ltr_tb_right_top.png,10,,,
"Leitner, Williams, Dooley and Napolitan",web-browsing,10.41.20.39:8000/rlsresources/ImageHandler/representation/rls/images/ltr_uf_logo.JPG,10,,,
"Leitner, Williams, Dooley and Napolitan",web-browsing,10.41.20.39:8000/rlsresources/ImageHandler/representation/rls/images/menue_bottom_1px.png,10,,,
"Leitner, Williams, Dooley and Napolitan",web-browsing,10.41.20.36:8000/,9,,,
"Leitner, Williams, Dooley and Napolitan",web-browsing,10.41.20.36:8000/rlsresources/ImageHandler/representation/rls/images/logo_small.png,9,,,
"Leitner, Williams, Dooley and Napolitan",web-browsing,10.41.20.37:8000/login,9,,,
"Leitner, Williams, Dooley and Napolitan",web-browsing,10.41.20.37:8000/rlsresources/ImageHandler/representation/rls/images/1px.gif,9,,,
"Leitner, Williams, Dooley and Napolitan",web-browsing,10.41.20.37:8000/rlsresources/ImageHandler/representation/rls/images/ltr_area_quicknavi.jpg,9,,,
"Leitner, Williams, Dooley and Napolitan",web-browsing,10.41.20.37:8000/rlsresources/ImageHandler/representation/rls/images/ltr_frame_mainmenue_transparent.gif,9,,,
