Top values of organization.name,Top values of network.application,Top values of url.original,Top values of source.ip,Count of records,Analysis Conducted(Y/N) ,Threat Found(Y/N) ,Device name 
Stevens Aerospace,salesforce-base,sophos.my.salesforce.com/,10.0.1.105,7,,,
Stevens Aerospace,salesforce-base,sophos.my.salesforce.com/,10.0.1.79,1,,,
Stevens Aerospace,ssl,sophos.zoom.us/,10.0.1.43,2,,,
Stevens Aerospace,ssl,sophos.zoom.us/,10.10.0.60,1,,,
Stevens Aerospace,ssl,sophos.com/,192.168.87.26,2,,,
Boyd Corp,ssl,sophosutmsupport.com/,10.100.0.240,17,,,
Boyd Corp,smtp-base,sophos1.appliedinfogroup.net:25/,10.100.0.248,1,,,
Keselowski Advanced Manufacturing,sophos-update,1ee6c852a837b6abc7bb2ca33893c41d.dat,192.168.20.13,9,,,
Keselowski Advanced Manufacturing,sophos-update,1ee6c852a837b6abc7bb2ca33893c41d.dat,10.110.98.218,8,,,
Keselowski Advanced Manufacturing,sophos-update,520e62edd6626d0fcdf656b1640aebf0x000.xml,10.193.98.113,1,,,
Keselowski Advanced Manufacturing,sophos-update,5f1ee938cca23b75f6820db3d789dfc5x000.dat,10.110.98.175,1,,,
Keselowski Advanced Manufacturing,sophos-update,74c695bea378a5fe98fa7cc277030812x000.dat,10.4.2.41,1,,,
Keselowski Advanced Manufacturing,sophos-update,822b00d1ffd12e7907171e12b4f43641x000.xml,130.51.1.176,1,,,
Keselowski Advanced Manufacturing,sophos-update,89fbda3f32961d4b636b2cc71c655fcex000.dat,10.10.3.58,1,,,
Keselowski Advanced Manufacturing,sophos-update,951aa85c4bcdb7392d6439fec9c9ec92x000.dat,10.10.3.79,1,,,
Keselowski Advanced Manufacturing,sophos-update,981bb3dd822371ae4d5a41d1a4753012x000.dat,10.9.18.182,1,,,
Keselowski Advanced Manufacturing,sophos-update,d2ea3267db0c4736ea4059feae409cd7x000.dat,172.30.221.5,1,,,
Keselowski Advanced Manufacturing,sophos-update,da0622e0066e6350c2183c9a94a8ee6cx000.xml,10.51.255.138,1,,,
Keselowski Advanced Manufacturing,sophos-update,da6058748862f3b1ff4685a1b2521ec5x000.dat,10.12.41.14,1,,,
Keselowski Advanced Manufacturing,sophos-update,f3ea5f3a499325db1fa3a8f6450a577ex000.xml,10.129.3.148,1,,,
"Leitner, Williams, Dooley and Napolitan",sophos-update,db669f303b800ad1eacce4efdaade71c.dat,,9,,,
"Leitner, Williams, Dooley and Napolitan",sophos-update,1824c53ecbedd6c3e6c5947fc722e24cx000.dat,,3,,,
"Leitner, Williams, Dooley and Napolitan",sophos-update,88f34e5ab160d9630053f5f56c27e3b7x000.dat,,3,,,
"Leitner, Williams, Dooley and Napolitan",sophos-update,b516b640dafe357f31ceddb4e84138bax000.dat,,3,,,
"Leitner, Williams, Dooley and Napolitan",sophos-update,f02426bf93ef1441e26df4a32c8bba57x000.dat,,3,,,
"Leitner, Williams, Dooley and Napolitan",sophos-update,007b05e0ed29d8e1524f17cc807a4891x000.dat,,2,,,
"Leitner, Williams, Dooley and Napolitan",sophos-update,0405869c6f73a7101d421ae43f898b77x000.dat,,2,,,
"Leitner, Williams, Dooley and Napolitan",sophos-update,208cdff837e6ffa37a4f8fc3f6309c6ex000.dat,,2,,,
"Leitner, Williams, Dooley and Napolitan",sophos-update,30c1d905c9b78a1ca283f253f4f5df33x000.dat,,2,,,
"Leitner, Williams, Dooley and Napolitan",sophos-update,3673d3306c709ad3922027571d2f32a2x000.dat,,2,,,
"Leitner, Williams, Dooley and Napolitan",sophos-update,8f28c02c551534701a36162eb90f44bbx000.dat,,2,,,
"Leitner, Williams, Dooley and Napolitan",sophos-update,9829188753200be8e2db42e1f5ae4217x000.dat,,2,,,
"Leitner, Williams, Dooley and Napolitan",sophos-update,98efdb7a14f375a71123691633c26049x000.dat,,2,,,
"Leitner, Williams, Dooley and Napolitan",sophos-update,bab5b47c392b2fe51ea8ef624f777440x000.dat,,2,,,
"Leitner, Williams, Dooley and Napolitan",sophos-update,cee742a542839ca966f50b2ac355d6adx000.dat,,2,,,
"Leitner, Williams, Dooley and Napolitan",sophos-update,0d5d70a9e2fbe3cb8dc37f1e28dc34adx000.xml,,1,,,
"Leitner, Williams, Dooley and Napolitan",sophos-update,114c95c55df9680ae490b5e0cbc276d2x000.xml,,1,,,
"Leitner, Williams, Dooley and Napolitan",sophos-update,2682c76df843319a941595bf4ab87c10x000.dat,,1,,,
"Leitner, Williams, Dooley and Napolitan",sophos-update,3708efeeed4a8fb1db97fee9b7dbee54x000.dat,,1,,,
"Leitner, Williams, Dooley and Napolitan",sophos-update,405cdc6bb005cdd2d6ef6f17f66334aex000.dat,,1,,,
"Leitner, Williams, Dooley and Napolitan",sophos-update,41c0256254e57ff9a26eeb72db8d7376x000.dat,,1,,,
"Leitner, Williams, Dooley and Napolitan",sophos-update,6fc20ba953e93f70c47f772d2084ea76x000.dat,,1,,,
"Leitner, Williams, Dooley and Napolitan",sophos-update,716dcb4cdbc43051e2744d4abee83d23x000.dat,,1,,,
"Leitner, Williams, Dooley and Napolitan",sophos-update,8d4b5949369f0a50ade00602ae755ec8x000.dat,,1,,,
"Leitner, Williams, Dooley and Napolitan",sophos-update,9a15ea40296d1fd7c86b3c3eff5e24bdx000.dat,,1,,,
"Leitner, Williams, Dooley and Napolitan",sophos-update,b1f3e5a03c7bf0116c9f9bf902c40ba5x000.dat,,1,,,
"Leitner, Williams, Dooley and Napolitan",sophos-update,b37656b0a7af9e09246fed2511067324x000.dat,,1,,,
"Leitner, Williams, Dooley and Napolitan",sophos-update,ca76f26307da5994151514f32c9937c2x000.dat,,1,,,
"Leitner, Williams, Dooley and Napolitan",sophos-update,fbbe8c82d9cbe284172d3b99b2e35a47x000.dat,,1,,,
Town of Mooresville,sophos-update,0ee2cfe89c70a7b1ab0b1da13b5b0540.dat,,3,,,
Town of Mooresville,sophos-update,15d20f0c81fc5ebc3a4c5d034df2e64b.dat,,2,,,
Town of Mooresville,sophos-update,83d92c71d5a66e1325a23d143256c470.dat,,2,,,
Town of Mooresville,sophos-update,6261ba662b4a35ad363f1caa0d409b03x000.xml,,1,,,
Town of Mooresville,sophos-update,740220e2f16edb9dd3dd7bcf830268ecx000.dat,,1,,,
Town of Mooresville,sophos-update,7da695889d5621de85c7cc9b89054a1ex000.dat,,1,,,
