Top values of organization.name,Top values of network.application,Top values of url.original,Top values of source.ip,Count of records,Analysis Conducted(Y/N) ,Threat Found(Y/N) ,Device name 
Boyd Corp,splunk,*.koch.splunkcloud.com:9997/,10.98.130.96,"4,764",,,
Boyd Corp,splunk,*.koch.splunkcloud.com:9997/,10.98.130.92,"1,936",,,
Boyd Corp,ssl,splunk-es-central.pwcinternal.com/,172.28.133.125,126,,,
Boyd Corp,ssl,splunk-es-central.pwcinternal.com/,172.28.132.239,65,,,
Boyd Corp,ssl,splunk-es-central.pwcinternal.com/,172.28.132.136,47,,,
Boyd Corp,ssl,splunk-es-central.pwcinternal.com/,172.28.132.127,46,,,
Boyd Corp,ssl,splunk-es-central.pwcinternal.com/,172.28.133.16,38,,,
Boyd Corp,ssl,splunk-es-central.pwcinternal.com/,172.28.132.187,22,,,
Boyd Corp,ssl,splunk-es-central.pwcinternal.com/,172.28.132.139,18,,,
Boyd Corp,ssl,splunk-es-central.pwcinternal.com/,172.28.132.198,15,,,
Boyd Corp,ssl,splunk-es-central.pwcinternal.com/,172.28.132.133,10,,,
Boyd Corp,ssl,splunk-es-central.pwcinternal.com/,172.28.132.216,6,,,
Boyd Corp,ssl,splunk-es-central.pwcinternal.com/,172.28.132.238,5,,,
Boyd Corp,ssl,splunk-es-central.pwcinternal.com/,172.28.132.220,3,,,
Boyd Corp,ssl,splunk-es-central.pwcinternal.com/,172.28.132.247,3,,,
Boyd Corp,ssl,splunk-es-central.pwcinternal.com/,10.1.1.10,2,,,
Boyd Corp,ssl,splunk-heavyforwarder-public.vtex.com:8088/,10.7.11.147,14,,,
Boyd Corp,ssl,splunk-heavyforwarder-public.vtex.com:8088/,10.7.11.148,1,,,
Boyd Corp,ssl,splunk-glbl.hfw.pwcinternal.com/,10.1.1.16,2,,,
Boyd Corp,ssl,splunk-glbl.hfw.pwcinternal.com/,10.1.1.15,2,,,
Boyd Corp,ssl,splunk-glbl.hfw.pwcinternal.com/,10.7.11.122,1,,,
Boyd Corp,ssl,splunk72-heavyforwarder-public.vtex.com:8088/,10.130.98.217,1,,,
Town of Mooresville,splunk,splunkserverdefaultcert:8088/,10.130.98.77,59,,,
Town of Mooresville,splunk,splunkserverdefaultcert:8088/,10.130.98.54,52,,,
Town of Mooresville,splunk,splunkserverdefaultcert:8088/,10.130.98.106,51,,,
Town of Mooresville,splunk,splunkserverdefaultcert:8088/,10.130.98.226,45,,,
Town of Mooresville,splunk,splunkserverdefaultcert:8088/,10.110.98.139,36,,,
Town of Mooresville,splunk,splunkserverdefaultcert:8088/,10.130.98.66,27,,,
Town of Mooresville,splunk,splunkserverdefaultcert:8088/,10.130.98.73,27,,,
Town of Mooresville,splunk,splunkserverdefaultcert:8088/,10.186.98.30,25,,,
Town of Mooresville,splunk,splunkserverdefaultcert:8088/,10.130.98.128,21,,,
Town of Mooresville,splunk,splunkserverdefaultcert:8088/,10.130.98.107,19,,,
Town of Mooresville,splunk,splunkserverdefaultcert:8088/,10.128.98.33,17,,,
Town of Mooresville,splunk,splunkserverdefaultcert:8088/,10.186.98.236,4,,,
Town of Mooresville,splunk,splunkserverdefaultcert:8088/,10.190.98.191,2,,,
Town of Mooresville,splunk,splunkserverdefaultcert:8088/,10.200.98.181,2,,,
Town of Mooresville,splunk,splunkserverdefaultcert:8088/,10.140.98.39,2,,,
Town of Mooresville,splunk,*.nielsen.splunkcloud.com:9997/,10.140.11.48,96,,,
Town of Mooresville,ssl,splunk-heavyforwarder-public.vtex.com:8088/,192.168.1.153,6,,,
McBrayer PLLC,splunk,*.ort.splunkcloud.com:9997/,192.168.1.183,31,,,
McBrayer PLLC,ssl,splunk.com/,192.168.1.41,1,,,
Grant Konvalinka & Harrison,splunk,*.ort.splunkcloud.com:9997/,192.168.1.43,25,,,
Grant Konvalinka & Harrison,ssl,splunk.com/,192.168.11.84,2,,,
Grant Konvalinka & Harrison,ssl,splunk.com/,172.25.81.156,1,,,
Company Combo,web-browsing,splunk-heavyforwarder-public.vtex.com:8088/services/collector/event,172.25.89.40,25,,,
Company Combo,web-browsing,splunk-heavyforwarder-public.vtex.com:8088/services/collector/event,172.25.96.118,11,,,
Company Combo,web-browsing,splunk-heavyforwarder-public.vtex.com:8088/services/collector/event,10.124.184.122,3,,,
FP1 Strategies,ssl,splunk.com/,10.124.184.160,4,,,
FP1 Strategies,ssl,splunk.com/,10.124.185.96,3,,,
FP1 Strategies,ssl,splunk.com/,10.124.188.78,3,,,
FP1 Strategies,ssl,splunk.com/,10.124.187.135,3,,,
FP1 Strategies,ssl,splunk.com/,10.124.188.131,2,,,
FP1 Strategies,ssl,splunk.com/,10.124.186.82,2,,,
FP1 Strategies,ssl,splunk.com/,10.124.186.237,1,,,
FP1 Strategies,ssl,splunk.com/,10.124.186.247,1,,,
FP1 Strategies,ssl,splunk.com/,10.124.187.45,1,,,
FP1 Strategies,ssl,splunk.com/,10.124.190.16,1,,,
FP1 Strategies,ssl,splunk.com/,10.124.190.167,1,,,
FP1 Strategies,ssl,splunk.com/,10.55.13.74,1,,,
Visser Precision,ssl,splunk.boledragon.com:8088/,10.55.13.85,6,,,
