Top values of organization.name,Top values of network.application,Top values of url.original,Top values of source.ip,Count of records,Analysis Conducted(Y/N) ,Threat Found(Y/N) ,Device name 
Town of Mooresville,ssl,springroll-tc.pbskids.org/,10.195.98.216,26,,,
Town of Mooresville,ssl,springroll-tc.pbskids.org/,10.130.98.195,11,,,
Town of Mooresville,ssl,springroll-tc.pbskids.org/,10.195.98.150,8,,,
Town of Mooresville,ssl,springroll-tc.pbskids.org/,10.182.98.163,4,,,
Town of Mooresville,ssl,springroll-tc.pbskids.org/,10.190.98.80,4,,,
Town of Mooresville,ssl,springroll-tc.pbskids.org/,10.190.98.73,3,,,
Town of Mooresville,ssl,springroll-tc.pbskids.org/,10.181.98.192,2,,,
Town of Mooresville,ssl,springroll-tc.pbskids.org/,10.110.98.174,1,,,
Town of Mooresville,ssl,springroll-tc.pbskids.org/,10.110.98.240,1,,,
Town of Mooresville,ssl,springroll-tc.pbskids.org/,10.182.98.230,1,,,
Town of Mooresville,ssl,springbot_www_production.s3.amazonaws.com/,10.128.11.122,7,,,
Town of Mooresville,ssl,springbot_www_production.s3.amazonaws.com/,10.128.11.94,3,,,
Town of Mooresville,ssl,springbot_www_production.s3.amazonaws.com/,10.140.11.76,3,,,
Town of Mooresville,ssl,springbot_www_production.s3.amazonaws.com/,10.110.98.173,2,,,
Town of Mooresville,ssl,springbot_www_production.s3.amazonaws.com/,10.220.11.162,2,,,
Town of Mooresville,ssl,springbot_www_production.s3.amazonaws.com/,10.110.98.252,1,,,
Town of Mooresville,ssl,springbot_www_production.s3.amazonaws.com/,10.128.11.35,1,,,
Town of Mooresville,ssl,springbot_www_production.s3.amazonaws.com/,10.128.11.121,1,,,
Town of Mooresville,ssl,springbot_www_production.s3.amazonaws.com/,10.128.98.35,1,,,
Town of Mooresville,ssl,springbot_www_production.s3.amazonaws.com/,10.128.98.190,1,,,
Town of Mooresville,ssl,springbot_www_production.s3.amazonaws.com/,10.128.98.195,1,,,
Town of Mooresville,ssl,springbot_www_production.s3.amazonaws.com/,10.130.98.240,1,,,
Town of Mooresville,ssl,springbot_www_production.s3.amazonaws.com/,10.130.253.30,1,,,
Town of Mooresville,ssl,springbot_www_production.s3.amazonaws.com/,10.142.11.26,1,,,
Town of Mooresville,ssl,springbot_www_production.s3.amazonaws.com/,10.151.253.51,1,,,
Town of Mooresville,ssl,springbot_www_production.s3.amazonaws.com/,10.154.11.63,1,,,
Town of Mooresville,ssl,springbot_www_production.s3.amazonaws.com/,10.155.11.100,1,,,
Town of Mooresville,ssl,springbot_www_production.s3.amazonaws.com/,10.155.98.74,1,,,
Town of Mooresville,ssl,springbot_www_production.s3.amazonaws.com/,10.155.253.34,1,,,
Town of Mooresville,ssl,springbot_www_production.s3.amazonaws.com/,10.160.11.33,1,,,
Town of Mooresville,ssl,springbot_www_production.s3.amazonaws.com/,10.200.11.36,1,,,
Town of Mooresville,ssl,springbot_www_production.s3.amazonaws.com/,192.168.10.63,1,,,
Town of Mooresville,ssl,springtime.pcc.com/,192.168.10.56,10,,,
Town of Mooresville,ssl,springtime.pcc.com/,192.168.10.57,8,,,
Town of Mooresville,ssl,springshare.com/,172.16.6.65,12,,,
Town of Mooresville,ssl,springroll.pbskids.org/,10.130.98.110,4,,,
Town of Mooresville,ssl,springroll.pbskids.org/,10.151.253.26,3,,,
Town of Mooresville,ssl,springroll.pbskids.org/,10.140.11.124,2,,,
Town of Mooresville,ssl,springroll.pbskids.org/,10.130.98.150,1,,,
Town of Mooresville,ssl,springroll.pbskids.org/,10.140.11.84,1,,,
Town of Mooresville,ssl,springer.met.vgwort.de/,192.168.10.60,3,,,
Town of Mooresville,ssl,springer.met.vgwort.de/,10.100.98.157,3,,,
Town of Mooresville,ssl,springer.met.vgwort.de/,10.128.11.30,2,,,
Town of Mooresville,ssl,spring.io/,10.130.11.100,6,,,
Town of Mooresville,ssl,spring.io/,10.130.98.218,1,,,
Town of Mooresville,ssl,springfield.edu/,10.140.11.63,5,,,
Town of Mooresville,ssl,spring-io.disqus.com/,10.132.98.253,4,,,
Town of Mooresville,ssl,springfreetrampolineusainc.cmail20.com/,10.151.11.61,4,,,
Town of Mooresville,ssl,springhillmedicalcenter.com/,172.30.220.68,4,,,
Town of Mooresville,ssl,spring-smoke-6688.ck.page/,10.25.9.147,2,,,
Town of Mooresville,ssl,springshare.us1.list-manage.com/,10.25.9.115,2,,,
Town of Mooresville,ssl,springeducationgroup.us4.list-manage.com/,10.25.9.113,1,,,
Town of Mooresville,ssl,springer.ecommerce.highwire.org/,10.25.9.118,1,,,
Town of Mooresville,ssl,springhillsuites.marriott.com/,10.9.11.207,1,,,
