Top values of organization.name,Top values of network.application,Top values of source.ip,Count of records,Analysis Conducted(Y/N) ,Threat Found(Y/N) ,Device name 
Boyd Corp,trendmicro,10.193.162.124,"30,764",,,
Boyd Corp,trendmicro,10.6.30.14,"5,867",,,
Boyd Corp,trendmicro,172.19.64.212,"5,619",,,
Boyd Corp,trendmicro,10.7.5.102,"1,445",,,
Boyd Corp,trendmicro,172.16.8.151,336,,,
Boyd Corp,trendmicro,10.6.100.198,309,,,
Boyd Corp,trendmicro,172.28.131.96,261,,,
Boyd Corp,trendmicro,192.168.22.172,223,,,
Boyd Corp,trendmicro,172.16.8.205,147,,,
Boyd Corp,trendmicro,172.28.131.11,144,,,
Boyd Corp,trendmicro,192.168.9.22,137,,,
Boyd Corp,trendmicro,172.28.130.208,129,,,
Boyd Corp,trendmicro,10.98.131.22,125,,,
Boyd Corp,trendmicro,172.28.130.73,117,,,
Boyd Corp,trendmicro,172.19.64.130,106,,,
Boyd Corp,trendmicro,172.28.130.82,103,,,
Boyd Corp,trendmicro,192.168.101.234,93,,,
Boyd Corp,trendmicro,10.6.100.112,70,,,
Boyd Corp,trendmicro,172.28.130.77,69,,,
Boyd Corp,trendmicro,192.168.101.209,66,,,
Boyd Corp,trendmicro,172.16.8.137,58,,,
Boyd Corp,trendmicro,172.28.130.186,57,,,
Boyd Corp,trendmicro,172.28.130.83,54,,,
Boyd Corp,trendmicro,172.28.136.78,52,,,
Boyd Corp,trendmicro,172.19.64.120,46,,,
Boyd Corp,trendmicro,192.168.9.16,46,,,
Boyd Corp,trendmicro,172.28.130.121,44,,,
Boyd Corp,trendmicro,172.16.8.213,39,,,
Boyd Corp,trendmicro,172.28.130.84,38,,,
Boyd Corp,trendmicro,192.168.22.105,38,,,
Boyd Corp,trendmicro,172.28.130.96,37,,,
Boyd Corp,trendmicro,10.6.100.203,35,,,
Boyd Corp,trendmicro,172.19.64.196,34,,,
Boyd Corp,trendmicro,192.168.101.16,28,,,
Boyd Corp,trendmicro,10.6.100.197,25,,,
Boyd Corp,trendmicro,172.16.8.200,23,,,
Boyd Corp,trendmicro,192.168.87.22,23,,,
Boyd Corp,trendmicro,10.6.100.211,20,,,
Boyd Corp,trendmicro,10.6.100.104,16,,,
Boyd Corp,trendmicro,10.6.100.201,16,,,
Boyd Corp,trendmicro,172.19.64.107,14,,,
Boyd Corp,trendmicro,10.125.165.124,12,,,
Boyd Corp,trendmicro,172.28.130.95,12,,,
Boyd Corp,trendmicro,10.125.165.119,11,,,
Boyd Corp,trendmicro,10.6.100.115,10,,,
Boyd Corp,trendmicro,172.16.8.111,9,,,
Boyd Corp,trendmicro,10.10.0.208,6,,,
Boyd Corp,trendmicro,172.28.130.119,6,,,
Boyd Corp,trendmicro,192.168.11.144,6,,,
Boyd Corp,trendmicro,10.6.100.186,4,,,
Boyd Corp,trendmicro,10.6.100.194,4,,,
Boyd Corp,trendmicro,172.16.8.149,4,,,
Boyd Corp,trendmicro,172.19.64.102,4,,,
Boyd Corp,trendmicro,172.28.132.200,4,,,
Boyd Corp,trendmicro,192.168.11.128,4,,,
Boyd Corp,trendmicro,192.168.11.171,4,,,
Boyd Corp,trendmicro,10.6.100.193,2,,,
Boyd Corp,trendmicro,172.28.130.92,2,,,
Boyd Corp,trendmicro,172.28.130.219,2,,,
Boyd Corp,trendmicro,172.28.133.140,2,,,
Boyd Corp,trendmicro,172.54.201.41,2,,,
Boyd Corp,trendmicro,192.168.101.3,2,,,
Boyd Corp,trendmicro,10.98.130.142,1,,,
Boyd Corp,trendmicro-officescan,10.6.30.13,"12,682",,,
Boyd Corp,trendmicro-officescan,10.6.100.148,"10,068",,,
