Top values of organization.name,Top values of network.application,Top values of source.ip,Count of records,Analysis Conducted(Y/N) ,Threat Found(Y/N) ,Device name 
LogicForce,vmware,172.16.10.231,"781,938",,,
LogicForce,vmware,172.16.10.109,"781,867",,,
LogicForce,vmware,172.16.10.106,"781,851",,,
LogicForce,vmware,172.16.10.107,"781,827",,,
LogicForce,vmware,172.16.10.100,"781,822",,,
LogicForce,vmware,172.16.10.101,"781,808",,,
LogicForce,vmware,172.16.10.233,"781,796",,,
LogicForce,vmware,172.16.10.230,"781,792",,,
LogicForce,vmware,172.16.10.232,"781,787",,,
LogicForce,vmware,172.16.10.108,"781,633",,,
LogicForce,vmware,172.16.10.102,"781,274",,,
LogicForce,vmware,172.16.0.10,"758,221",,,
LogicForce,vmware,172.16.1.6,"4,445",,,
LogicForce,vmware,172.16.1.9,627,,,
LogicForce,vmware,172.16.1.13,521,,,
LogicForce,vmware,172.16.1.223,520,,,
LogicForce,vmware,192.168.168.51,1,,,
LogicForce,vmware-carbon-black,172.16.1.59,204,,,
LogicForce,ssl,172.16.1.93,178,,,
LogicForce,ssl,172.16.10.207,5,,,
LogicForce,ssl,172.16.1.30,4,,,
LogicForce,ssl,172.16.1.54,3,,,
LogicForce,ssl,192.168.168.51,2,,,
LogicForce,salesforce-base,172.16.1.93,24,,,
LogicForce,salesforce-base,172.16.1.64,13,,,
LogicForce,salesforce-base,172.16.1.30,12,,,
LogicForce,web-browsing,172.16.10.109,5,,,
LogicForce,web-browsing,172.16.10.101,4,,,
LogicForce,web-browsing,172.16.10.102,3,,,
LogicForce,web-browsing,172.16.10.100,2,,,
LogicForce,web-browsing,172.16.10.108,2,,,
LogicForce,web-browsing,172.16.10.106,1,,,
LogicForce,web-browsing,172.16.10.107,1,,,
LogicForce,zoom-base,172.16.1.54,2,,,
LogicForce,zoom-base,172.16.1.93,2,,,
LogicForce,zoom-base,172.16.1.30,1,,,
Boyd Corp,vmware,172.16.4.13,"362,765",,,
Boyd Corp,vmware,172.16.4.12,"362,209",,,
Boyd Corp,vmware,10.7.1.14,"255,727",,,
Boyd Corp,vmware,10.7.1.15,"255,624",,,
Boyd Corp,vmware,10.1.10.72,"32,702",,,
Boyd Corp,vmware,10.1.10.71,"32,643",,,
Boyd Corp,vmware,192.168.87.36,"1,365",,,
Boyd Corp,vmware,10.5.3.10,595,,,
Boyd Corp,vmware,192.168.87.22,5,,,
Boyd Corp,vmware,192.168.101.100,3,,,
Boyd Corp,vmware,192.168.101.135,2,,,
Boyd Corp,vmware,192.168.101.204,1,,,
Boyd Corp,vmware,192.168.101.206,1,,,
Boyd Corp,vmware,192.168.101.223,1,,,
Boyd Corp,vmware-view,192.168.87.36,"2,905",,,
Boyd Corp,ssl,192.168.87.36,828,,,
Boyd Corp,ssl,10.10.0.185,27,,,
Boyd Corp,ssl,172.16.8.105,22,,,
Boyd Corp,ssl,192.168.11.117,8,,,
Boyd Corp,ssl,172.16.4.16,6,,,
Boyd Corp,ssl,10.8.1.100,3,,,
Boyd Corp,ssl,10.98.130.74,3,,,
Boyd Corp,ssl,10.10.0.60,2,,,
Boyd Corp,ssl,192.168.11.219,2,,,
Boyd Corp,http-proxy,192.168.11.219,2,,,
Boyd Corp,web-browsing,10.7.1.15,1,,,
Town of Mooresville,ssl,10.129.10.6,"526,157",,,
Town of Mooresville,ssl,172.16.6.10,16,,,
Town of Mooresville,ssl,10.130.98.150,2,,,
Town of Mooresville,vmware-carbon-black,10.128.98.158,448,,,
Town of Mooresville,vmware-carbon-black,10.200.98.97,138,,,
Town of Mooresville,vmware-carbon-black,10.183.98.248,134,,,
Town of Mooresville,vmware-carbon-black,10.130.98.211,8,,,
Town of Mooresville,vmware-carbon-black,10.200.98.79,2,,,
Town of Mooresville,vmware-view,10.110.98.152,3,,,
Town of Mooresville,vmware-view,10.183.98.210,2,,,
"Robinson Gray Stepp & Laffitte, LLC",vmware-carbon-black,192.168.50.82,"29,768",,,
"Robinson Gray Stepp & Laffitte, LLC",vmware-carbon-black,192.168.54.105,552,,,
"Robinson Gray Stepp & Laffitte, LLC",vmware-carbon-black,192.168.53.83,14,,,
"Robinson Gray Stepp & Laffitte, LLC",vmware-view,192.168.51.120,89,,,
"Robinson Gray Stepp & Laffitte, LLC",vmware-view,192.168.50.212,80,,,
"Robinson Gray Stepp & Laffitte, LLC",vmware-view,192.168.50.108,64,,,
"Robinson Gray Stepp & Laffitte, LLC",vmware-view,192.168.50.91,56,,,
